x,y,p,i,d,pid_output,error,time,speed,stability,distance
0.79299,0.7645,0.0018324571496026731,0.0033237546052388707,-0.0010287549638201329,0.004127456791021411,0.0009162285748013366,1754747291.8573833,0.01757677682247245,4,0.49908377142519866
0.793,0.76476,0.0013431239910276505,0.003323894447807955,-0.0007357792360317951,0.00393123920280381,0.0006715619955138252,1754747291.8782067,0.013073835431942862,5,0.4993284380044862
0.79294,0.76485,0.0011351745105847577,0.0033240130681941676,-0.0004998470147135463,0.003959340564065379,0.0005675872552923789,1754747291.8991058,0.005395853283857889,6,0.4994324127447076
0.7929,0.76498,0.000863159322007645,0.003324101973951714,-0.00035248660825690155,0.0038347746877024575,0.0004315796610038225,1754747291.9197059,0.007010593199465155,7,0.4995684203389962
0.79286,0.76506,0.0006864159834513162,0.003324172616158701,-0.00019806853816008784,0.003812520061449929,0.0003432079917256581,1754747291.9402888,0.004407669268994511,8,0.49965679200827434
0.7929,0.76509,0.0006535581691401449,0.0033242410820886713,-0.00014925277005023216,0.003828546481178584,0.00032677908457007243,1754747291.9612405,0.0024803690124228198,9,0.4996732209154299
0.79293,0.765,0.000843278559364391,0.0033243291836341756,-0.00012880343536160203,0.0040388043076369645,0.0004216392796821955,1754747291.9821355,0.004575479965213013,10,0.4995783607203178
0.79301,0.76485,0.00117770389323002,0.0033244493756946496,-2.3523918727657036e-05,0.004478629350197012,0.00058885194661501,1754747292.0025468,0.008447842282354836,11,0.499411148053385
0.79307,0.76467,0.0015571443492623516,0.003324615988087739,0.00013619551430838368,0.005017955851658475,0.0007785721746311758,1754747292.0239465,0.009695580291784193,12,0.4992214278253688
0.79314,0.76447,0.0019807695239535406,0.0033248216350548884,0.00024576541254055136,0.00555135657154898,0.0009903847619767703,1754747292.0447109,0.01050589961057706,13,0.49900961523802323
0.79334,0.76404,0.002921622739716523,0.0033251204701826155,0.000265966212523519,0.006512709422422658,0.0014608113698582614,1754747292.0651677,0.02435611579066974,14,0.49853918863014174
0.79334,0.76404,0.002921622739716523,0.003325419044096914,0.000265966212523519,0.006513007996336956,0.0014608113698582614,1754747292.0856066,0.0,15,0.49853918863014174
0.79338,0.76379,0.0034223086984136453,0.0033257809306826078,0.0003060234174277694,0.007054113046524022,0.0017111543492068226,1754747292.1067553,0.013095001488206612,16,0.4982888456507932
0.79346,0.76356,0.00390917321762263,0.0033261803057087424,0.00035511856048890276,0.007590472083820275,0.001954586608811315,1754747292.127188,0.012292155309254047,17,0.4980454133911887
0.79355,0.7634,0.004268717976581904,0.003326614591347403,0.00035511856048890276,0.00795045112841821,0.002134358988290952,1754747292.1475353,0.009404351356052313,18,0.49786564101170905
0.79355,0.7634,0.004268717976581904,0.003327053512799392,0.0002650551341085826,0.007860826623489877,0.002134358988290952,1754747292.1680999,0.009404351356052313,18,0.49786564101170905
0.79355,0.76312,0.004802275525109478,0.0033275468610404857,0.00035511856048890276,0.008484940946638868,0.002401137762554739,1754747292.1886463,0.0068284131451018535,19,0.49759886223744526
0.79355,0.76295,0.005126206999098826,0.003328074092449155,0.0002650551341085826,0.008719336225656562,0.002563103499549413,1754747292.2092164,0.008352251142087555,20,0.4974368965004506
0.79357,0.76286,0.005309850656999848,0.0033286180658303895,0.00023621598057641348,0.008874684703406651,0.002654925328499924,1754747292.2297056,0.004717815188851014,21,0.4973450746715001
0.79363,0.76278,0.005498745903254276,0.0033291978963190926,0.00013444413337095762,0.008962387932944326,0.002749372951627138,1754747292.2507951,0.005052221780553458,22,0.49725062704837286
0.79371,0.76267,0.005756951243811925,0.003329797240174503,0.0001860128634502203,0.009272761347436648,0.0028784756219059626,1754747292.2716167,0.006675954567452586,23,0.49712152437809404
0.79375,0.76263,0.005857467764304847,0.0033304028659846513,0.00013444413337095762,0.009322314763660456,0.0029287338821524234,1754747292.2922955,0.0029100568366208484,24,0.4970712661178476
0.79375,0.76328,1.0,3.290176391601563e-07,227.9513043478261,228.95130467684373,0.5,1754747293.0164385,0,0,0.0
0.79378,0.76334,0.9998658359213498,0.00010211770851136617,227.9513043478261,228.95127230145596,0.4999329179606749,1754747293.036799,0,0,6.70820393250856e-05
0.7938,0.7634,0.99974,0.00020686232032300406,-9.007852659514062e-05,0.9998567837937278,0.49987,1754747293.0577533,0.0032753154891626696,1,0.00013000000000000617
0.79382,0.76346,0.9996137358416833,0.0003122919998104624,-8.978642513999185e-05,0.9998362414163537,0.49980686792084167,1754747293.0788474,0.0032389630864879462,2,0.00019313207915834922
0.79385,0.76352,0.9994799999999999,0.00041472889160466716,-9.007852659514062e-05,0.9998046503650094,0.49973999999999996,1754747293.0993454,0.0033218709075411934,3,0.00026000000000001234
0.7938,0.76368,0.99919377422517,0.0005163217139149229,-9.786486345730282e-05,0.9996122310756276,0.499596887112585,1754747293.1196804,0.008490236562423936,4,0.0004031128874149932
0.79363,0.76425,0.9980452110088298,0.0006183712218712612,-9.786486345730282e-05,0.9985657173672438,0.4990226055044149,1754747293.1401303,0.028062244393143036,5,0.0009773944955851007
0.79329,0.76546,0.9955439928186771,0.0007197068843730832,-0.0002111332811678308,0.9960525664218823,0.49777199640933856,1754747293.1604881,0.06653865262707015,0,0.002228003590661429
0.79269,0.76769,0.990928792803601,0.0008205467810492415,-0.0008424719828876911,0.9909068676017626,0.4954643964018005,1754747293.1808407,0.11396694464807927,0,0.004535603598199485
0.79158,0.77145,0.9830934568879383,0.000920541280870316,-0.001842939111310309,0.9821710590574982,0.4915467284439691,1754747293.2011836,0.19884439258500541,0,0.008453271556030848
0.78997,0.77739,0.9707849011639528,0.0010189840947644826,-0.003401432416804378,0.968402452841913,0.4853924505819764,1754747293.2214646,0.2956421161187439,0,0.014607549418023611
0.78764,0.7854,0.9541033116663086,0.0011185218861602384,-0.005777468374503306,0.9494443651779655,0.4770516558331543,1754747293.2423298,0.40171867342858564,0,0.02294834416684569
0.78498,0.79563,0.9329646242644976,0.0012141338194139682,-0.009103478135661293,0.9250752799482502,0.4664823121322488,1754747293.2628262,0.5455279077636458,0,0.033517687867751236
0.77708,0.82178,0.8783424659135326,0.0013035898871850723,-0.011992399741129017,0.8676536560595887,0.4391712329567663,1754747293.2831955,1.4316383196810074,0,0.06082876704323373
0.77265,0.83692,0.8467934779456174,0.0013897601214573996,-0.015470072781296335,0.8327131652857785,0.4233967389728087,1754747293.3035476,0.7759027526369743,0,0.07660326102719131
0.76785,0.85366,0.8119643182797478,0.001473140141486055,-0.02325235402278126,0.7901851043984526,0.4059821591398739,1754747293.3240855,0.8908435330838019,0,0.09401784086012611
0.76132,0.87087,0.7752573649705067,0.0015520844185021533,-0.025437780125234323,0.7513716692637745,0.38762868248525334,1754747293.3444514,0.7488471395440925,0,0.11237131751474667
0.76132,0.87087,0.7752573649705067,0.0016309538370356967,-0.025437780125234323,0.751450538682308,0.38762868248525334,1754747293.364798,0.0,1,0.11237131751474667
