timestamp,current_yaw,target_yaw,angle_error,p_term,i_term,d_term,pid_output
1754744158.3598344,93.69,94.46000000000004,0.7700000000000387,3.8500000000001933,-0.0,-0.9877666176035715,2.8622333823966217
1754744158.3801675,93.69,94.46000000000004,0.7700000000000387,3.8500000000001933,-0.0,0.0,3.8500000000001933
1754744158.400427,93.69,94.46000000000004,0.7700000000000387,3.8500000000001933,-0.0,0.0,3.8500000000001933
1754744158.4206595,93.85,94.46000000000004,0.6100000000000421,3.0500000000002103,-0.0,-3.954325849979292,-0.9043258499790818
1754744158.440913,93.85,94.46000000000004,0.6100000000000421,3.0500000000002103,-0.0,0.0,3.0500000000002103
1754744158.4611638,93.92,94.46000000000004,0.5400000000000347,2.7000000000001734,-0.0,-1.7279608267811044,0.972039173219069
1754744158.4813764,93.92,94.46000000000004,0.5400000000000347,2.7000000000001734,-0.0,0.0,2.7000000000001734
1754744158.5015936,93.92,94.46000000000004,0.5400000000000347,2.7000000000001734,-0.0,0.0,2.7000000000001734
1754744158.5218039,94.1,94.46000000000004,0.36000000000004206,1.8000000000002103,-0.0,-4.453602642755834,-2.653602642755624
1754744158.5420713,94.1,94.46000000000004,0.36000000000004206,1.8000000000002103,-0.0,0.0,1.8000000000002103
1754744158.562425,94.1,94.46000000000004,0.36000000000004206,1.8000000000002103,-0.0,0.0,1.8000000000002103
1754744158.5827076,94.22,94.46000000000004,0.24000000000003752,1.2000000000001876,-0.0,-2.958005571423646,-1.7580055714234586
1754744158.6030018,94.22,94.46000000000004,0.24000000000003752,1.2000000000001876,-0.0,0.0,1.2000000000001876
1754744158.6232827,94.26,94.46000000000004,0.20000000000003126,1.0000000000001563,-0.0,-0.9858164596384322,0.01418354036172409
1754744158.6435218,94.26,94.46000000000004,0.20000000000003126,1.0000000000001563,-0.0,0.0,1.0000000000001563
1754744158.6637309,94.26,94.46000000000004,0.20000000000003126,1.0000000000001563,-0.0,0.0,1.0000000000001563
1754744158.6840024,94.28,94.46000000000004,0.18000000000003524,0.9000000000001762,-0.0,-0.4933082423785244,0.40669175762165183
1754744158.7041986,94.28,94.46000000000004,0.18000000000003524,0.9000000000001762,-0.0,0.0,0.9000000000001762
1754744158.7243817,94.28,94.46000000000004,0.18000000000003524,0.9000000000001762,-0.0,0.0,0.9000000000001762
1754744158.7445693,94.32,94.46000000000004,0.1400000000000432,0.700000000000216,-0.0,-0.9908936059626884,-0.2908936059624724
1754744158.7648165,94.32,94.46000000000004,0.1400000000000432,0.700000000000216,-0.0,0.0,0.700000000000216
1754744158.7850256,94.33,94.46000000000004,0.13000000000003809,0.6500000000001904,-0.0,-0.24741944998301965,0.40258055001717075
1754744158.8052573,94.33,94.46000000000004,0.13000000000003809,0.6500000000001904,-0.0,0.0,0.6500000000001904
1754744172.0486023,93.81,0.721458993216288,-93.08854100678371,-465.44270503391857,-0.0,-154.96495399131788,-620.4076590252364
1754744172.0688367,93.81,0.721458993216288,-93.08854100678371,-465.44270503391857,-0.0,0.0,-465.44270503391857
1754744172.0891402,93.81,0.721458993216288,-93.08854100678371,-465.44270503391857,-0.0,0.0,-465.44270503391857
1754744172.1094093,93.81,0.721458993216288,-93.08854100678371,-465.44270503391857,-0.0,0.0,-465.44270503391857
1754744172.1296358,93.68,0.721458993216288,-92.95854100678372,-464.7927050339186,-0.0,3.213192688014785,-461.5795123459038
1754744172.149846,93.68,0.721458993216288,-92.95854100678372,-464.7927050339186,-0.0,0.0,-464.7927050339186
1754744172.170056,93.68,0.721458993216288,-92.95854100678372,-464.7927050339186,-0.0,0.0,-464.7927050339186
1754744172.190284,89.55,0.721458993216288,-88.82854100678371,-444.14270503391856,-0.0,102.07464479328738,-342.0680602406312
1754744172.2104807,89.55,0.721458993216288,-88.82854100678371,-444.14270503391856,-0.0,0.0,-444.14270503391856
1754744172.230703,84.89,0.721458993216288,-84.16854100678371,-420.84270503391855,-0.0,115.26754561645605,-305.5751594174625
1754744172.2510042,84.89,0.721458993216288,-84.16854100678371,-420.84270503391855,-0.0,0.0,-420.84270503391855
