timestamp,position,tof1,marker,yaw_gimbal
1755340476.7235858,"-0.000,-0.000",4914,,1.1
1755340476.723531,"-0.000,-0.000",4914,,1.1
1755340476.7527087,"-0.000,-0.000",4914,,1.1
1755340476.7532256,"-0.000,-0.000",4914,,1.1
1755340476.7529328,"-0.000,-0.000",4914,,-3.74
1755340476.7531831,"-0.000,-0.000",4914,,1.1
1755340476.7630916,"-0.000,-0.000",4914,,1.1
1755340476.7635767,"-0.000,-0.000",4914,,-3.74
1755340476.7637298,"-0.000,-0.000",4914,,1.1
1755340476.7638304,"-0.000,-0.000",4905,,1.1
1755340476.7923965,"-0.000,-0.000",4905,,1.1
1755340476.792922,"-0.000,-0.000",4905,,1.1
1755340476.7929046,"-0.000,-0.000",4905,,-3.74
1755340476.7930176,"-0.000,-0.000",4905,,1.1
1755340476.810935,"-0.000,-0.000",4905,,1.1
1755340476.8114064,"-0.000,-0.000",4905,,-3.75
1755340476.812222,"-0.000,-0.000",4905,,1.1
1755340476.812175,"-0.000,-0.000",4905,,1.1
1755340476.832529,"-0.000,-0.000",4905,,1.1
1755340476.8331888,"-0.000,-0.000",4905,,-3.75
1755340476.8332255,"-0.000,-0.000",4905,,1.1
1755340476.8332887,"-0.000,-0.000",4905,,1.1
1755340476.8530824,"-0.000,-0.000",4905,,1.1
1755340476.8530045,"-0.000,-0.000",4905,,1.1
1755340476.8530393,"-0.000,-0.000",4905,,-3.75
1755340476.8735807,"-0.000,-0.000",4905,,-3.75
1755340476.8735378,"-0.000,-0.000",4905,,1.1
1755340476.8736322,"-0.000,-0.000",4905,,1.1
1755340476.872978,"-0.000,-0.000",4905,,1.1
1755340476.8924804,"-0.000,-0.000",4907,,1.1
1755340476.89328,"-0.000,-0.000",4907,,1.1
1755340476.8933842,"-0.000,-0.000",4907,,1.1
1755340476.8933284,"-0.000,-0.000",4907,,-3.75
1755340476.9124196,"-0.000,-0.000",4907,,1.1
1755340476.9127302,"0.000,-0.000",4907,,1.1
1755340476.9130409,"0.000,-0.000",4907,,1.1
1755340476.912977,"0.000,-0.000",4907,,-3.75
1755340476.933139,"0.000,-0.000",4907,,1.1
